id	A	B	C	D	E	F	G
150	I6	K3	B12	N10	K13	F6	G6
151	H3	I12	N10	K5	N10	K3	G11
152	J3	K12	L8	K7	I13	E13	
153	J11	C13	D2	E5	C9	H6	
154	L9	I12	A10	M9	H4	C7	C10
155	L3	F6	A11	F4	M9	H4	F5
156	D7	G3	H3	N10	K2	J4	K12
157	E3	C8	A11	G4	G4	E3	
158	G8	B9	E14	I12	J6	I6	J5
159	A12	H4	N10	I6	K7	I13	H10
160	L6	K8	M3	B10	G11	I13	
161	I12	M9	A11	I6	J7	M3	
162	B9	M5	G11	A11	F4	C7	B11
163	F11	B10	I6	M4	F4	B11	D9
164	F7	G5	N10	M9	K2	L5	I6
165	K6	G3	I12	I1	M9	C13	J10
166	I6	K12	B10	F4	B13	N3	M8
167	B10	B10	J8	M4	F6	B11	C10
168	B10	F4	A11	F4	A11	I4	J3
169	I5	N9	A10	I6	C7	H4	
170	H2	L8	I13	D2	B11	J6	J10
171	D12	J11	K2	J3			
172	H6	M2	B12	N2	K13	K3	
173	C9	N9	K6	I3	G9	H5	
174	K8	G5	E5	G12	B13	D8	G7
175	H2	F11	K12	K7	C7	I6	
176	E13	K3	H1	C7	I1		
177	M5	C6	K1	N10	E4	G7	
178	K3	F6	G4	J2	K12	E13	B11
179	C12	I6	I3	B10	K2	M10	I10
180	G4	N5	C13	I6	C7	M7	L5
181	B9	M5	G11	G4	C10	H6	
182	C6	D14	K2	J8	A11	K3	C13
183	C6	G9	N10	I7			
184	H9	I6	H1	K7	M9	J6	C13
185	J12	J11	I3	K12	J2	I13	H7
186	H9	G9	J12	J8	I3	M8	K7
187	M9	J6	J11	I2	I3	H1	H7
188	A12	D14	I6	N2	I7	J6	K11
189	K3	K2	B10	M9	K12	L7	I6
190	H9	M5	J8	E14	G4	G4	
191	K8	L3	A11	D2	K5	G11	E12
192	H3	K8	G3	I2	G10		
193	M5	L8	H3	A11	J6	J8	K7
194	I12	C12	F4	B13	I3	G11	C9
195	F5	I6	C12	G11	C7	H5	
196	G4	H1	F4	C7	M9	F4	G4
197	B12	L3	G10	A11	E1	K12	J6
198	H5	D14	N2	C7	K7	B11	I4
199	M5	A10	C13	H3	M5		
200	I2	A12	K12	K11	M9	G11	B11
201	M9	B12	J12	K7	C7	M7	I5
202	F11	F11	I3	K12	G4	C7	I1
203	I2	J12	M8	E14	A11	G11	I12
204	I6	K3	A10	K6	N10		
205	H9	K8	G11	K7	G8	H4	H13
206	H5	A12	J11	B10	M9	G11	
207	H9	M3	K2	J12	N3	G4	H5
208	H3	H3	E5	K1	C7	E13	I4
209	F11	A12	K3	K2	B11	I3	H12
210	M2	H5	K6	E14	B10	K3	
211	K3	M9	B12	I13	I1	G9	F13
212	C6	C6	K12	H10	C6	G9	K7
213	C12	J8	G3	F11	C7	I2	E13
214	H2	A10	N10	K7	K7	K11	H6
215	C8	F4	L3	A11	H4	A11	
216	B10	H5	C7	J11	C10	G11	J6
217	D13	H9	A11	K2	G8	K12	I5
218	C9	J6	E14	K7	J2	E2	
219	F11	C8	E14	E2	H4	J2	G6
220	F5	I12	G4	K2	N2	I5	
221	C8	K12	M8	N10	E2	A11	
222	D7	M9	M8	I6	G9	F4	G9
223	E3	J8	N2	C7	B13	M10	K7
224	K6	A12	H9	G4	G9	C9	C13
225	J3	G4	E14	F6	J6	G9	N3
226	L3	I12	N10	G9	I2	G11	G6
227	C8	J6	E14	B10	I2	C7	B11
228	G6	B9	B9	K2			
229	G3	A12	A12	K2	F11	N2	
230	I6	N10	N10	N10	F6	C13	E3
231	M2	F5	I3	C7			
232		N2	N2	N2	I3	K7	G9
233					G8		
